Country of origin,Location Description,Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other
Dominica,California,0,0,0,5,0,0,0,0,0,0,0,0
Dominica,Florida,0,5,7,10,0,0,0,0,5,22,0,5
Dominica,Illinois,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,Maryland,0,0,0,0,0,0,0,0,0,5,0,0
Dominica,Massachusetts,0,0,0,58,0,11,0,0,0,86,0,11
Dominica,New Jersey,0,0,0,25,5,0,0,0,0,30,0,5
Dominica,New York,0,0,0,59,0,10,0,0,0,96,5,16
Dominica,Pennsylvania,0,0,0,12,0,0,0,0,0,38,0,5
Dominica,Texas,0,0,0,6,0,0,0,0,0,6,0,0
Ecuador,California,5,13,0,13,0,0,0,7,0,19,0,0
Ecuador,Florida,17,24,16,79,5,0,10,17,10,78,8,6
Ecuador,Illinois,13,35,22,119,0,11,17,30,19,90,0,26
Ecuador,Maryland,0,14,0,35,0,0,0,7,6,26,0,5
Ecuador,Massachusetts,50,119,75,518,0,55,58,137,100,414,0,59
Ecuador,New Jersey,105,208,115,1518,10,105,100,213,141,1412,16,123
Ecuador,New York,305,692,307,3089,10,333,293,715,352,2582,18,355
Ecuador,Pennsylvania,15,45,16,201,0,11,18,44,27,182,0,15
Ecuador,Texas,12,7,0,7,0,0,7,10,0,20,0,0
Ecuador,Virginia,0,0,0,5,0,0,0,0,5,0,0,7
Equatorial Guinea,Maryland,0,0,0,0,0,0,0,0,5,0,0,0
Equatorial Guinea,Texas,0,0,0,0,0,0,0,0,0,11,0,0
Eritrea,California,0,5,0,35,0,10,0,5,0,287,0,50
Eritrea,Illinois,0,0,0,0,0,0,0,0,0,5,0,9
Eritrea,Maryland,0,0,0,9,0,5,0,0,0,29,0,8
Eritrea,Massachusetts,0,0,0,0,0,0,0,0,0,12,0,0
Eritrea,New Jersey,0,0,0,0,0,0,0,0,0,5,0,8
Eritrea,Texas,0,0,6,37,0,6,0,0,7,139,0,47
Eritrea,Virginia,0,5,0,16,0,0,0,0,0,35,0,8
Eritrea,Florida,0,0,0,0,0,0,0,0,0,17,0,5
Eritrea,New York,0,0,0,0,0,0,0,0,0,8,0,13
Eritrea,Pennsylvania,0,0,0,7,0,0,0,0,5,7,0,0
Ethiopia,California,0,0,0,31,0,0,0,0,0,26,0,33
Ethiopia,Florida,0,0,0,7,0,0,0,0,0,5,0,0
Ethiopia,Illinois,0,0,0,12,0,0,0,0,0,0,0,0
Ethiopia,Maryland,0,12,7,144,0,0,0,12,8,217,10,5
Ethiopia,Massachusetts,0,0,0,14,0,0,0,0,0,8,0,0
Ethiopia,New Jersey,0,0,0,12,0,0,0,0,0,0,0,0
Ethiopia,New York,0,0,0,0,0,0,0,0,0,9,0,9
Ethiopia,Pennsylvania,0,0,0,6,0,0,0,0,0,12,0,0
Ethiopia,Texas,0,0,5,29,0,6,0,0,0,45,0,15
Ethiopia,Virginia,0,0,7,107,10,5,0,5,6,126,0,7
French Guiana,Florida,0,0,0,0,0,0,0,7,0,0,0,0
Fiji,California,0,0,0,9,0,0,0,0,0,17,0,0
Fiji,Maryland,0,0,0,5,0,0,0,0,0,0,0,0
France,California,0,0,5,0,0,0,6,0,0,0,0,0
France,New York,0,0,0,8,0,0,0,0,0,0,0,0
France,Virginia,0,9,0,0,0,0,5,0,0,5,0,0
Gabon,New Jersey,0,0,0,0,0,0,0,5,0,0,0,0
Gabon,New York,0,0,0,5,0,0,0,0,0,7,0,0
Gabon,Texas,0,0,0,7,0,0,0,0,0,0,0,0
Gabon,Maryland,0,5,0,0,0,0,0,0,0,0,0,0
Gambia,California,0,0,0,5,0,0,0,0,0,0,0,0
Gambia,Maryland,0,0,0,6,0,0,0,0,0,5,0,0
Gambia,Massachusetts,0,0,0,5,0,0,0,0,0,0,0,0
Gambia,New Jersey,0,0,0,0,0,0,0,0,0,9,0,5
Gambia,New York,0,0,0,63,5,0,0,0,5,67,5,11
Gambia,Texas,0,0,0,7,0,0,0,0,0,5,0,0
Gambia,Virginia,0,0,0,0,0,0,0,0,0,5,0,5
Gambia,Pennsylvania,0,0,0,5,0,0,0,0,0,0,0,0
Palestinian,California,0,0,0,0,0,0,0,0,5,0,0,0
Palestinian,Florida,0,0,0,0,0,0,0,0,0,8,0,0
Palestinian,Illinois,0,0,0,6,0,0,0,0,0,12,0,0
Palestinian,Pennsylvania,0,0,0,0,0,0,0,0,0,5,0,0
Palestinian,Texas,0,0,0,0,0,0,0,0,0,9,0,0
Palestinian,New York,0,0,0,0,0,0,0,0,7,0,0,0
Palestinian,Virginia,0,0,0,0,0,0,0,0,0,7,0,0
United Kingdom,California,0,0,5,0,0,0,0,0,0,0,0,0
United Kingdom,Florida,0,5,0,0,0,0,0,0,0,0,0,0
United Kingdom,Massachusetts,0,0,0,5,0,0,0,0,0,0,0,0
United Kingdom,New York,0,0,0,11,0,0,0,0,0,7,0,0
United Kingdom,Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,California,0,0,5,14,0,0,0,0,5,28,0,0
Georgia,Florida,0,0,0,5,0,0,0,0,0,7,0,0
Georgia,Illinois,0,0,5,6,0,0,0,0,0,14,0,0
Georgia,Maryland,0,0,0,0,0,0,0,0,5,8,0,0
Georgia,Massachusetts,0,0,0,0,0,0,0,0,0,5,0,0
Georgia,New Jersey,0,6,0,39,0,0,6,0,0,77,0,0
Georgia,New York,5,7,5,238,15,20,0,14,5,667,5,68
Georgia,Pennsylvania,0,13,0,35,0,5,0,5,0,132,0,7
Georgia,Virginia,0,0,0,0,0,0,0,0,0,5,0,0
Georgia,Texas,0,0,0,0,0,0,0,0,0,0,0,0
Germany,California,0,0,0,0,0,0,0,0,0,9,0,0
Germany,Florida,0,0,0,0,0,0,0,0,0,5,0,0
Germany,New York,0,0,0,7,0,0,0,0,0,0,0,0
Germany,Texas,0,0,0,0,0,0,0,5,0,0,0,0
Ghana,California,0,0,0,5,0,5,0,0,0,16,0,12
Ghana,Illinois,0,0,0,5,0,0,0,0,0,15,0,5
Ghana,Maryland,0,0,0,5,0,0,0,0,0,14,0,5
Ghana,Massachusetts,0,0,0,8,0,0,0,0,0,14,0,6
Ghana,New Jersey,7,0,0,20,0,6,0,0,0,35,0,22
Ghana,New York,11,7,0,67,6,8,5,6,5,151,5,38
Ghana,Pennsylvania,0,7,0,7,0,0,5,0,0,22,0,5
Ghana,Texas,0,0,0,5,0,0,0,0,0,13,0,0
Ghana,Virginia,0,5,0,12,0,0,5,0,0,26,5,7
Guadeloupe,California,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,Florida,0,0,0,0,0,0,0,0,0,9,0,0
Guadeloupe,Massachusetts,0,0,0,6,0,0,0,0,0,0,0,0
Guadeloupe,New Jersey,0,0,0,5,0,0,0,0,0,0,0,0
Guadeloupe,New York,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,Virginia,0,0,0,5,0,0,0,0,0,0,0,0
Guinea-Bissau,New Jersey,0,0,0,5,0,0,0,0,0,0,0,0
Guinea-Bissau,New York,0,0,0,0,0,0,0,0,0,8,0,0
Greece,California,0,0,0,5,0,0,0,0,0,0,0,0
Greece,Illinois,0,0,0,0,0,0,0,0,0,0,0,0
Greece,New York,0,0,0,0,0,0,0,0,0,5,0,0
Greece,Virginia,0,0,5,0,0,0,0,0,0,0,0,0
Grenada,New York,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,California,206,1215,741,4637,18,534,206,1324,864,3694,44,406
Guatemala,Florida,71,639,359,2723,12,396,85,689,507,3581,14,273
Guatemala,Illinois,12,98,79,350,0,84,12,84,93,419,0,45
Guatemala,Maryland,23,191,121,890,5,69,23,216,147,612,5,47
Guatemala,Massachusetts,67,362,226,1936,5,241,69,382,328,1747,9,129
Guatemala,New Jersey,65,319,181,1765,6,256,58,312,216,1881,9,124
Guatemala,New York,60,267,172,1359,7,316,42,277,214,1269,6,172
Guatemala,Pennsylvania,42,183,98,804,0,108,37,205,138,760,6,67
Guatemala,Texas,39,201,170,968,5,147,42,248,217,1090,6,92
Guatemala,Virginia,52,400,241,1545,5,203,43,423,247,1583,10,118
Guinea,California,0,0,0,6,0,0,0,0,0,5,0,5
Guinea,Illinois,0,0,0,5,0,0,0,0,0,0,0,0
